"","VehModel","Area","pure_premium","interaction","exposure"
"1","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Acre",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Acre",NA
"2","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Alagoas",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Alagoas",NA
"3","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Amapa",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Amapa",NA
"4","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Amazonas",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Amazonas",NA
"5","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Bahia",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Bahia",NA
"6","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Blumenau e demais regioes",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Blumenau e demais regioes",NA
"7","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Brasilia",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Brasilia",NA
"8","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Ceara",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Ceara",NA
"9","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Demais regioes",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Demais regioes",NA
"10","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Espirito Santo",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Espirito Santo",NA
"11","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.F.Iguatu-Medianeira-Cascavel-Toledo",NA
"12","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Goias",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Goias",NA
"13","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Grande Campinas",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Grande Campinas",NA
"14","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Interior",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Interior",NA
"15","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Litoral Norte e Baixada Santista",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Litoral Norte e Baixada Santista",NA
"16","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Maranhao",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Maranhao",NA
"17","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Mato Grosso",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Mato Grosso",NA
"18","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Mato Grosso do Sul",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Mato Grosso do Sul",NA
"19","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met. Curitiba",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met. Curitiba",NA
"20","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met. Florianopolis e Sul",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met. Florianopolis e Sul",NA
"21","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met. Porto Alegre e Caxias do Sul",NA
"22","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met. de Sao Paulo",763.546493666976,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met. de Sao Paulo",194.22
"23","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met. do Rio de Janeiro",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met. do Rio de Janeiro",NA
"24","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"25","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Oeste",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Oeste",NA
"26","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Para",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Para",NA
"27","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Paraiba",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Paraiba",NA
"28","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Pernambuco",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Pernambuco",NA
"29","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Piaui",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Piaui",NA
"30","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Ribeirao Preto e Demais Mun. de Campinas",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Ribeirao Preto e Demais Mun. de Campinas",NA
"31","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Rio Grande do Norte",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Rio Grande do Norte",NA
"32","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Rondonia",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Rondonia",NA
"33","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Roraima",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Roraima",NA
"34","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Sergipe",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Sergipe",NA
"35","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Sudeste de Goias",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Sudeste de Goias",NA
"36","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Sul",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Sul",NA
"37","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Tocantins",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Tocantins",NA
"38","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Triangulo mineiro",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Triangulo mineiro",NA
"39","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Vale do Aco-Norte-Vale Jequitinhonha",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Vale do Aco-Norte-Vale Jequitinhonha",NA
"40","Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv","Vale do Paraiba e Ribeira",NA,"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv.Vale do Paraiba e Ribeira",NA
"41","Honda - Accord Seda Ex 2.7/ 3.0 24v","Acre",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Acre",NA
"42","Honda - Accord Seda Ex 2.7/ 3.0 24v","Alagoas",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Alagoas",NA
"43","Honda - Accord Seda Ex 2.7/ 3.0 24v","Amapa",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Amapa",NA
"44","Honda - Accord Seda Ex 2.7/ 3.0 24v","Amazonas",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Amazonas",NA
"45","Honda - Accord Seda Ex 2.7/ 3.0 24v","Bahia",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Bahia",NA
"46","Honda - Accord Seda Ex 2.7/ 3.0 24v","Blumenau e demais regioes",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Blumenau e demais regioes",NA
"47","Honda - Accord Seda Ex 2.7/ 3.0 24v","Brasilia",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Brasilia",NA
"48","Honda - Accord Seda Ex 2.7/ 3.0 24v","Ceara",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Ceara",NA
"49","Honda - Accord Seda Ex 2.7/ 3.0 24v","Demais regioes",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Demais regioes",NA
"50","Honda - Accord Seda Ex 2.7/ 3.0 24v","Espirito Santo",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Espirito Santo",NA
"51","Honda - Accord Seda Ex 2.7/ 3.0 24v","F.Iguatu-Medianeira-Cascavel-Toledo",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.F.Iguatu-Medianeira-Cascavel-Toledo",NA
"52","Honda - Accord Seda Ex 2.7/ 3.0 24v","Goias",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Goias",NA
"53","Honda - Accord Seda Ex 2.7/ 3.0 24v","Grande Campinas",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Grande Campinas",NA
"54","Honda - Accord Seda Ex 2.7/ 3.0 24v","Interior",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Interior",NA
"55","Honda - Accord Seda Ex 2.7/ 3.0 24v","Litoral Norte e Baixada Santista",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Litoral Norte e Baixada Santista",NA
"56","Honda - Accord Seda Ex 2.7/ 3.0 24v","Maranhao",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Maranhao",NA
"57","Honda - Accord Seda Ex 2.7/ 3.0 24v","Mato Grosso",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Mato Grosso",NA
"58","Honda - Accord Seda Ex 2.7/ 3.0 24v","Mato Grosso do Sul",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Mato Grosso do Sul",NA
"59","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met. Curitiba",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met. Curitiba",NA
"60","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met. Florianopolis e Sul",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met. Florianopolis e Sul",NA
"61","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met. Porto Alegre e Caxias do Sul",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met. Porto Alegre e Caxias do Sul",NA
"62","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met. de Sao Paulo",675.78672001231,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met. de Sao Paulo",259.94
"63","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met. do Rio de Janeiro",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met. do Rio de Janeiro",NA
"64","Honda - Accord Seda Ex 2.7/ 3.0 24v","Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Met.BH-Centro Oeste-Zona Mata-C. Vertentes",NA
"65","Honda - Accord Seda Ex 2.7/ 3.0 24v","Oeste",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Oeste",NA
"66","Honda - Accord Seda Ex 2.7/ 3.0 24v","Para",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Para",NA
"67","Honda - Accord Seda Ex 2.7/ 3.0 24v","Paraiba",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Paraiba",NA
"68","Honda - Accord Seda Ex 2.7/ 3.0 24v","Pernambuco",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Pernambuco",NA
"69","Honda - Accord Seda Ex 2.7/ 3.0 24v","Piaui",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Piaui",NA
"70","Honda - Accord Seda Ex 2.7/ 3.0 24v","Ribeirao Preto e Demais Mun. de Campinas",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Ribeirao Preto e Demais Mun. de Campinas",NA
"71","Honda - Accord Seda Ex 2.7/ 3.0 24v","Rio Grande do Norte",NA,"Honda - Accord Seda Ex 2.7/ 3.0 24v.Rio Grande do Norte",NA
