Manufacturer,pp_weighted,exposure,n_groups
Porsche,3293.573550081609,292.4109589039348,1
Volvo,2921.3500239857904,12237.708493151758,6
Scania,2743.0095020181593,9702.033835617322,1
Ssangyong,2356.547391720334,529.78013698617,1
Iveco,1684.521863249287,5689.362191781607,6
Triumph,1560.974916830539,259.4109589039348,1
Subaru,1449.384878680691,2164.591369861513,5
Bmw,1376.496244867065,8786.4024657532,2
Kawasaki,1344.3165366739645,336.0964383566007,1
Dodge,1162.2607994570394,1646.7310958901048,3
Mercedes-benz,1153.5809844007817,83329.32520548825,6
Mitsubishi,1141.5822099203162,70842.80684931576,4
Jaguar,965.5839152504444,186.8527397261001,1
Audi,927.343847279789,7455.572191782724,3
Buell,907.3142511685672,136.86547945220025,1
Volkswagen,868.3933876547416,46485.991917812345,1
Nissan,836.801178200438,23285.009041099605,6
Saab-scania,828.0132468115788,851.6083561649359,1
Toyota,809.6986937555794,200885.2246575323,6
Lexus,809.1072826938137,127.7,1
Land,784.6927693260075,5257.40794520568,4
Jeep,767.6138019601595,2064.316712328009,2
Chrysler,710.2658070460056,4280.02301369844,1
Kia,682.9216179196768,30565.345205480236,9
Outros,639.6845804203792,321214.1175342514,1
Hyundai,618.4033084266366,67467.60315068666,10
Troller,599.2657080374174,1427.5236986305008,1
Suzuki,522.9525580197153,11214.384383561817,5
Peugeot,519.4200517472967,167816.0589041096,9
Honda,514.992948429867,302327.984246571,6
Citroen,496.83420715949904,133645.5623287703,6
Renault,435.3222688051664,236151.26164384253,11
Effa,397.6646695372781,277.88739726006986,1
Hafei,397.01664709421345,342.36095890393483,1
Ford,378.59384714399124,693363.2915068526,24
Vw,357.69835965904537,1082837.688630159,23
Fiat,351.8598090886165,1152352.4583561704,23
Gm,331.4632699703267,1214364.7983561927,23
Yamaha,318.3640416647565,10130.622739725819,2
Mazda,298.7038626609442,116.5,1
Harley-davidson,292.1022998272682,5593.362328766845,1
Agrale,255.01903457294424,978.0328767132013,1
Dafra,142.34875743479597,489.7127397261001,1
Gmc,128.52952085346894,321.31917808270083,1
Kasinski,106.61815012776857,378.8191780817695,1
Seat,87.60594185728607,109.73,1
Daewoo,55.27744025921425,123.45,1
Marcopolo,51.83019154603499,1126.1004109575783,1
Sundown,22.634208726544667,674.5983561640046,1
Alfa,17.313795034534255,107.14,1
Chevrolet,2.654848479579828,322.8056164379045,1
