Manufacturer,pp_weighted,exposure,n_groups
Scania,1812.8245374111195,9702.033835617322,1
Triumph,1760.9664677627118,259.4109589039348,1
Volvo,987.7290349548862,12237.708493151758,6
Kawasaki,912.8124103311397,336.0964383566007,1
Volkswagen,763.6274829363812,46485.991917812345,1
Buell,737.1252444648353,136.86547945220025,1
Mercedes-benz,654.6176014924371,83329.32520548825,6
Iveco,553.6538005174191,5689.362191781607,6
Gmc,536.5506068723568,321.31917808270083,1
Ssangyong,455.6097579896641,529.78013698617,1
Yamaha,451.89660276737357,10130.622739725819,2
Mitsubishi,390.22786122522206,70842.80684931576,4
Suzuki,383.6999743211344,11214.384383561817,5
Bmw,382.158228363394,8786.4024657532,2
Toyota,360.2478486079464,200885.2246575323,6
Dodge,356.94898910151323,1646.7310958901048,3
Outros,321.9285123387315,321214.1175342514,1
Hyundai,314.8163860595636,67467.60315068666,10
Kasinski,303.3558136678992,378.8191780817695,1
Audi,302.9854640116979,7455.572191782724,3
Harley-davidson,269.1667214649984,5593.362328766845,1
Land,264.8558024244254,5257.40794520568,4
Fiat,243.15162689000536,1152352.4583561704,23
Agrale,241.03790947421226,978.0328767132013,1
Nissan,235.5613858821579,23285.009041099605,6
Vw,234.2728413165195,1082837.688630159,23
Honda,233.6803957333344,302327.984246571,6
Kia,230.98901558403224,30565.345205480236,9
Subaru,192.98838839347601,2164.591369861513,5
Jeep,187.2978103073966,2064.316712328009,2
Chrysler,184.17564519561716,4280.02301369844,1
Troller,182.82918893072278,1427.5236986305008,1
Peugeot,178.3739243757616,167816.0589041096,9
Mazda,174.30901287553647,116.5,1
Dafra,165.6011645630419,489.7127397261001,1
Gm,164.95012147185608,1214364.7983561927,23
Ford,164.59934986170532,693363.2915068526,24
Citroen,149.92450666419643,133645.5623287703,6
Renault,144.36648257851445,236151.26164384253,11
Hafei,80.09674960542013,342.36095890393483,1
Saab-scania,79.04924782931785,851.6083561649359,1
Effa,65.32502077814969,277.88739726006986,1
Sundown,24.235161338023367,674.5983561640046,1
Lexus,0.0,127.7,1
Seat,0.0,109.73,1
Daewoo,0.0,123.45,1
Alfa,0.0,107.14,1
Porsche,0.0,292.4109589039348,1
Marcopolo,0.0,1126.1004109575783,1
Chevrolet,0.0,322.8056164379045,1
Jaguar,0.0,186.8527397261001,1
