State,pp_weighted,exposure,n_cells
Acre,1178.93178466309,3128.8468493146447,14
Amapa,1037.9018151789767,1349.2836986305006,8
Tocantins,770.1259318764137,14955.465753422119,44
Mato Grosso,768.2956905952551,63162.7465753479,73
Piaui,759.4085388839101,20635.38424657556,50
Rondonia,734.4699103032523,657.6865753432364,4
Maranhao,689.7180448145944,29039.779589040823,59
Para,688.1494388369829,48041.39643835642,68
Goias,655.8478756365319,168503.89260275016,95
Mato Grosso do Sul,625.5187996299351,54731.26150685498,76
Esperito Santo,594.7199192000471,88408.56561643789,88
Roraima,573.3171021229706,926.6773972600698,4
Amazonas,560.2838070002465,20176.19438356359,54
Sergipe,546.8559344823607,30391.550958904492,59
Parana,542.9762102469822,441790.59684932715,157
Santa Catarina,541.727901085441,304243.64273976197,138
Minas Gerais,498.1116092482452,520764.150410963,142
Distrito Federal,496.7163745060803,170619.75273972488,104
Alagoas,482.52190632236994,37149.8117808231,62
Paraiba,482.0365473897225,41360.38876712169,63
Bahia,478.45265311962214,204167.94506848935,101
Ceara,471.5683787844516,97470.19958903891,78
Rio Grande do Norte,467.24343832341515,48184.18013698569,70
Rio Grande do Sul,454.9603700871897,438158.64876713784,153
Rio de Janeiro,414.2388328020028,520434.6283561605,152
Pernambuco,393.1993879030621,147764.31191780992,86
Sao Paulo,362.64660375854794,2406456.762465764,231
