State,pp_weighted,exposure,n_cells
Rio de Janeiro,329.1036369754902,520434.6283561605,152
Sao Paulo,314.3930515604947,2406456.762465764,231
Bahia,227.00277942481483,204167.94506848935,101
Parana,201.39880892563528,441790.59684932715,157
Rio Grande do Sul,181.23236463193075,438158.64876713784,153
Goias,177.96453563655282,168503.89260275016,95
Alagoas,174.95867915420138,37149.8117808231,62
Pernambuco,170.84096066472014,147764.31191780992,86
Esperito Santo,150.90383954288995,88408.56561643789,88
Ceara,136.69669351429485,97470.19958903891,78
Mato Grosso,130.27725116709234,63162.7465753479,73
Santa Catarina,127.33264909379486,304243.64273976197,138
Minas Gerais,125.60134745908007,520764.150410963,142
Para,122.59306424527178,48041.39643835642,68
Rio Grande do Norte,104.16391823480308,48184.18013698569,70
Tocantins,92.33253064579598,14955.465753422119,44
Distrito Federal,91.37858747095697,170619.75273972488,104
Amazonas,86.70163296132117,20176.19438356359,54
Maranhao,86.27296885357494,29039.779589040823,59
Paraiba,83.66113334869418,41360.38876712169,63
Sergipe,80.5386011167964,30391.550958904492,59
Acre,50.87241647345752,3128.8468493146447,14
Mato Grosso do Sul,47.07863347307054,54731.26150685498,76
Piaui,31.703843852995757,20635.38424657556,50
Roraima,7.273297071805492,926.6773972600698,4
Amapa,2.0425652535469685,1349.2836986305006,8
Rondonia,1.681652083931918,657.6865753432364,4
