VehGroup,pp_weighted,exposure,n_cells
Iveco Stralis,4020.826242971133,1221.8336986305007,5
Porsche Cayenne,3293.573550081609,292.4109589039348,1
Volvo Caminhoes - Todos,3054.693585347129,10745.761917809454,13
Mercedes-benz Axor,2923.3748379067515,3907.683972603306,8
Volvo - Outros,2914.5517197141353,510.3628767122701,2
Scania Caminhoes - Outros,2743.0095020181593,9702.033835617322,10
Iveco Eurotech,2715.3236714975847,103.5,1
Subaru Impreza,2621.5963929830045,685.694794519674,1
Audi A6,2579.6846066543217,167.41,1
Ssangyong - Outros,2356.547391720334,529.78013698617,4
Citroen Jumper,1941.7517964646659,423.2054794522002,2
Mercedes-benz Atego,1836.1631435861445,3708.1176712338065,7
Iveco Eurocargo,1666.5950520946008,295.0854794522003,2
Mercedes-benz - Outros,1634.8217357610058,7196.662328766566,11
Volvo Xc60,1627.4780210308568,580.1,2
Dodge Ram,1607.2746511917942,580.4882191778347,2
Triumph Motos Acima De 450cc,1560.974916830539,259.4109589039348,1
Bmw - Todos,1521.4172754177475,6972.223972603027,7
Mitsubishi - Outros,1440.8504340927045,33737.6002739729,26
Toyota Hilux,1385.940144719832,58078.21232876666,25
Volvo Xc90,1362.5481798715205,140.1,1
Kawasaki Motos Acima De 450cc,1344.3165366739645,336.0964383566007,1
Iveco Daily Outros,1267.5766533356518,172.53,1
Volvo S40,1266.9173786195502,156.81369863003493,1
Audi A4,1214.7091092109026,989.7538356166706,4
Hyundai Accent,1213.5090067252816,468.17369863050055,3
Land Rover Discovery,1149.3399987147047,1255.6119178083352,4
Hyundai Terracan,1139.4198934791996,138.94,1
Mercedes-benz Sprinter,1129.6431734242988,8161.58342465993,10
Nissan Frontier,1118.9512362283242,9871.661643837766,22
Dodge Journey,1073.7102621879087,768.5909589039348,2
Ford Cargo,1071.077008111632,17402.71041095609,20
Subaru - Outros,1059.737527197236,183.27273972610013,1
Renault Master,1052.9289317141952,3758.8158904102447,8
Kia Motors Sorento,1050.5820888858427,1608.1665753427708,6
Mercedes-benz Caminhoes - Outros,1046.0560944341096,50540.75520548497,23
Subaru Forester,1033.2554492571967,877.1964383556693,1
Toyota Rav4,1004.3980903143655,2485.9575342467056,6
Volvo S60,999.1202065601989,104.57000000000001,1
Mitsubishi Galant,985.853830630982,121.92273972610012,1
Jaguar - Todos,965.5839152504444,186.8527397261001,1
Iveco Daily Chassi,962.891524357781,3753.2130136989053,8
Citroen C5,958.0195390352043,1052.4628767127356,5
Suzuki Grand Vitara,914.5065811876973,1830.3520547945054,7
Buell Motos - Todas,907.3142511685672,136.86547945220025,1
Kia Motors Cerato,905.9324475672285,5556.8646575344355,16
Mitsubishi Pajero,870.3736073622272,36852.49383561676,23
Volkswagen Caminhoes - Todos,868.3933876547416,46485.991917812345,23
Suzuki Motos Acima De 450cc,866.1829694377777,4350.394931507241,7
Toyota Land Cruiser,856.6305862967849,905.9809589044005,4
Ford F-250,848.5785982810829,6654.872054797485,11
Audi A3,838.2674957604484,6298.408356166054,8
Saab-scania,828.0132468115788,851.6083561649359,3
Bmw Motos Acima De 450cc,819.5378820847515,1814.1784931501747,3
Hyundai Azera,816.0028327734557,6510.682054794972,13
Lexus,809.1072826938137,127.7,1
Peugeot 407,775.0058124479942,453.67917808176946,3
Jeep Cherokee,767.7790631758422,1955.1067123280095,6
Jeep Wrangler,764.655251350609,109.21,1
Fiat Ducato,760.023172776692,5317.056301370618,7
Vw Volkswagen Passat,748.2535034370995,3904.0231506855416,6
Kia Motors Magnetis,743.4419287448478,531.33,3
Toyota Camry,740.8387825137005,910.886438356135,2
Ford Ranger,736.6141797069545,26380.399041097276,23
Hyundai Veracruz,728.9510081009869,3334.6301369861694,8
Land Rover Freelander,721.3117953420059,2809.09589041071,7
Hyundai Hr,717.6845002265662,11156.299178082234,14
Ford Edge,717.2291081982794,182.50095890393482,1
Chrysler - Todos,710.2658070460056,4280.02301369844,7
Peugeot Boxer,707.7169647151294,1136.5193150679395,4
Honda Cr-v,705.906577271463,12395.519863013084,15
Nissan - Outros,705.8847944562744,554.1400000000001,3
Nissan Pathfinder,705.3067979115045,239.1427397261001,1
Peugeot 307,697.2918098810893,33684.35232876954,18
Yamaha Motos Acima De 450cc,687.787418026915,3931.275753425006,6
Subaru Legacy,686.5132992343954,250.2719178078696,1
Citroen C4,683.0241010912991,25112.260273971315,21
Kia Motors Bongo,671.5668301857768,3838.9120547940392,7
Vw Volkswagen Bora,666.0454202643185,6074.803424658812,12
Honda Civic,664.4103858387954,128176.96684931521,24
Gm Chevrolet Tracker,659.7961892601056,7874.334657534436,15
Vw Volkswagen New Beetle,654.7430632557622,3340.860136987101,7
Nissan - Tiida,654.4636207000308,4758.921506849546,9
Ford Transit,653.7884529027257,127.7982191778347,1
Renault Megane,646.1895407455906,21427.271917809172,15
Hyundai Santa Fe,644.9063276575664,6584.71287671227,12
Ford Fusion,644.2451112785964,12142.738630137741,14
Vw Volkswagen - Outros,641.8322743593254,8452.913972603772,10
Outros,639.6845804203792,321214.1175342514,26
Kia Motors Sportage,628.8492550566386,11697.138767123912,17
Kia Motors Picanto,618.0574625797487,5313.509178082701,11
Nissan Sentra,613.5516114770061,7323.264931508358,15
Troller T4,599.2657080374174,1427.5236986305008,7
Gm Chevrolet Captiva,597.2572828866558,8187.14671232894,11
Vw Volkswagen Golf,594.9009775963099,37643.39082191972,23
Fiat Linea,577.1349195418211,6376.694383562282,13
Land Rover Defender,569.9236380016687,960.8164383566008,3
Toyota Corolla,569.2851473737691,137279.07246575208,24
Ford Focus,564.9924603573896,65147.43219178002,23
Fiat Stilo,562.8893271666852,25468.512739725076,15
Gm Chevrolet S-10,547.9033387693106,72502.2046575363,24
Honda Motos Acima De 450cc,546.3361235146307,5801.41027397234,8
Hyundai Tucson,543.996883297324,38402.01780821998,23
Peugeot 207,524.7150285771177,39372.38095890309,23
Dodge Dakota,523.0371137747809,297.65191780833527,1
Honda Accord,512.209572138185,3201.222876712736,6
Mitsubishi Space Wagon,507.80640721767725,130.79,1
Nissan Xterra,504.6588434365552,537.8782191778347,4
Gm Chevrolet Silverado,502.50377215230907,1163.5375342471712,4
Citroen Xsara,478.926838539806,36128.74369863041,18
Honda Fit,470.7881879065757,118390.279178076,23
Land Rover Range Rover,467.9026625890923,231.88369863003493,1
Gm Chevrolet Omega,466.5120511130289,3436.9530136993717,7
Fiat Strada,464.2766280131301,93475.45273972451,23
Kia Motors Carens,460.8728813559322,472.0,2
Iveco Daily Furgao,458.22625698324026,143.2,1
Gm Chevrolet Astra,454.2911192036098,114536.48068493113,23
Peugeot 206,453.1901917712946,90613.8895890401,22
Fiat Uno Furgao,452.5839863361572,1194.604794519674,6
Gm Chevrolet Vectra,442.5018515202433,94547.25863013943,23
Gm Chevrolet Suprema,440.9906362124792,114.27,1
Ford Explorer,439.5441938164631,204.5209589039348,1
Renault Scenic,434.3697862986303,28758.031506850664,12
Fiat Marea,431.36435524376896,2687.259589042608,7
Renault - Sandero,428.9826247915987,53332.53068493058,23
Gm Chevrolet Montana,427.1725723524285,42913.31931507092,22
Citroen C3,425.34965115135986,70436.36904109923,22
Renault Logan,419.8720111607342,37953.82301369815,23
Fiat Marea Weekend,413.75998509689435,957.4028767118044,4
Mercedes-benz Classe A,411.77642189869493,9814.522602739651,10
Vw Volkswagen Voyage,410.4161471132561,48375.318904110274,23
Vw Volkswagen Crossfox,410.21888908965946,42280.829726027376,23
Peugeot Partner,408.8149420911628,1298.8810958910362,4
Vw Volkswagen Saveiro,405.75399514205634,41489.25753425099,22
Renault Clio Acima De 1.0,405.190524708344,19307.196301372198,15
Subaru Outback,400.2664689801717,168.15547945220024,1
Effa,397.6646695372781,277.88739726006986,1
Hafei,397.01664709421345,342.36095890393483,1
Vw Volkswagen Spacefox,396.32717636315385,49658.527534246896,22
Fiat Siena Acima De 1.0,394.0513983958246,54125.781780821606,23
Fiat Punto,391.1084637975203,38947.957945206144,22
Fiat Brava,391.00172370648676,3332.4175342462395,6
Fiat Fiorino,389.6855111646697,27817.12095890412,17
Vw Volkswagen Polo,388.93466767581174,94003.18109589224,23
Ford Caminhoes - Outros,379.2395327849607,14589.088219178951,20
Peugeot 406,374.71264367816093,160.95,1
Fiat Doblo,369.96358536999145,22667.05246575385,19
Renault Clio 1.0,364.4313562152037,67009.26136986785,22
Fiat Uno 1.0,364.15807416024177,205584.0809589103,25
Gm Chevrolet D-20,360.558884773758,2897.5267123303374,6
Gm Chevrolet Zafira,358.63450461725967,35082.0064383579,14
Vw Volkswagen Gol 1.0,357.38560054160223,382876.2289041119,27
Ford Eco Sport,351.34992857560627,112994.36479451829,23
Fiat Palio Weekend,349.9812705032663,83257.43534246659,23
Vw Volkswagen Gol Acima De 1.0,349.86302824851754,101867.01972602906,23
Fiat Palio Acima De 1.0,338.6574367959612,76173.02972603036,23
Fiat Siena 1.0,338.58917223154975,94507.33698630164,24
Vw Volkswagen Parati Acima De 1.0,334.9475910463978,34408.03369863181,20
Gm Chevrolet Prisma,330.54339288065506,65131.708767124386,23
Renault Kangoo,326.9437811045722,3986.559999999255,6
Ford Fiesta Acima De 1.0,326.60379516777573,97946.08780821737,23
Ford Ka Acima De 1.0,323.2232107237416,4728.1876712319445,8
Ford Mondeo,316.22542844181595,895.0165753418394,3
Ford Courier,313.47689741183945,17468.113424658346,11
Citroen Berlingo,313.2008845738113,492.52095890440046,1
Gm Chevrolet Corsa Acima De 1.0,308.2402553127068,118271.58643836339,23
Renault Twingo,306.5481141545963,348.65,1
Mazda - Todos,298.7038626609442,116.5,1
Suzuki - Outros,296.34056185312966,162.32,1
Fiat Palio 1.0,293.07518266061595,352579.1234246529,27
Harley-davidson Motos - Todas,292.1022998272682,5593.362328766845,7
Gm Chevrolet Meriva,291.7146375105899,65110.730000000374,20
Ford Ka 1.0,291.02931634320333,119182.5979452054,24
Ford Fiesta 1.0,288.8657607850185,174409.7634246617,25
Fiat Idea,285.3573031717783,52542.22630136922,22
Gm Chevrolet Celta 1.0,271.48588309512235,269073.8102739768,24
Vw Volkswagen Fox Acima De 1.0,263.21864974095564,39338.287808217094,19
Vw Volkswagen Santana,259.0957164352467,16249.00657534482,13
