VehGroup,pp_weighted,exposure,n_cells
Scania Caminhoes - Outros,1812.8245374111195,9702.033835617322,10
Iveco Stralis,1811.068071277013,1221.8336986305007,5
Triumph Motos Acima De 450cc,1760.9664677627118,259.4109589039348,1
Mercedes-benz Sprinter,1282.6350544148468,8161.58342465993,10
Citroen Jumper,1224.289441315045,423.2054794522002,2
Peugeot 407,1193.557090915033,453.67917808176946,3
Volvo Caminhoes - Todos,1075.118924871462,10745.761917809454,13
Mercedes-benz Atego,932.2147532739508,3708.1176712338065,7
Yamaha Motos Acima De 450cc,923.0761787286123,3931.275753425006,6
Toyota Land Cruiser,918.0490956518712,905.9809589044005,4
Kawasaki Motos Acima De 450cc,912.8124103311397,336.0964383566007,1
Mercedes-benz Axor,906.808233430223,3907.683972603306,8
Suzuki Motos Acima De 450cc,857.8085573272483,4350.394931507241,7
Ford Cargo,807.461922204565,17402.71041095609,20
Volvo - Outros,768.1906695988614,510.3628767122701,2
Volkswagen Caminhoes - Todos,763.6274829363812,46485.991917812345,23
Buell Motos - Todas,737.1252444648353,136.86547945220025,1
Honda Motos Acima De 450cc,734.3604052817437,5801.41027397234,8
Hyundai Hr,705.3246667550061,11156.299178082234,14
Dodge Ram,704.98932877504,580.4882191778347,2
Land Rover Range Rover,687.9698786180086,231.88369863003493,1
Renault Trafic,685.284105355326,166.47547945220023,1
Mercedes-benz Caminhoes - Outros,660.5758236943947,50540.75520548497,23
Toyota Hilux,648.2398044016983,58078.21232876666,25
Ford Edge,609.2899493121653,182.50095890393482,1
Renault Master,584.4489498952908,3758.8158904102447,8
Hyundai Accent,578.6912011343595,468.17369863050055,3
Kia Motors Bongo,563.5424748265216,3838.9120547940392,7
Gm Chevrolet Silverado,543.24074763,1163.5375342471712,4
Gmc Caminhoes - Todos,536.5506068723568,321.31917808270083,1
Fiat Ducato,534.1399148374446,5317.056301370618,7
Mitsubishi - Outros,521.208113712982,33737.6002739729,26
Hyundai H100,510.02344895724804,422.66095890440045,1
Ford F-250,489.6653118448518,6654.872054797485,11
Toyota Band,462.1411309581154,1225.1149315063096,5
Ssangyong - Outros,455.6097579896641,529.78013698617,4
Peugeot Boxer,455.549670943384,1136.5193150679395,4
Audi A4,441.83208416417517,989.7538356166706,4
Bmw Motos Acima De 450cc,424.8495960624302,1814.1784931501747,3
Fiat Stilo,416.83835677774243,25468.512739725076,15
Audi A6,411.03279373991995,167.41,1
Gm Chevrolet D-20,393.4027579967464,2897.5267123303374,6
Vw Volkswagen Parati Acima De 1.0,385.30391233972693,34408.03369863181,20
Hyundai Veracruz,382.34705128417306,3334.6301369861694,8
Bmw - Todos,371.04989887956043,6972.223972603027,7
Subaru Forester,345.8552574252358,877.1964383556693,1
Vw Volkswagen Crossfox,336.94400257311486,42280.829726027376,23
Vw Volkswagen Passat,332.7083241737218,3904.0231506855416,6
Vw Volkswagen - Outros,332.4140064724295,8452.913972603772,10
Vw Volkswagen Golf,331.18878846430687,37643.39082191972,23
Land Rover Discovery,326.98399416010585,1255.6119178083352,4
Fiat Palio Weekend,325.6751650884649,83257.43534246659,23
Outros,321.9285123387315,321214.1175342514,26
Ford Ranger,318.36819401086143,26380.399041097276,23
Hyundai Atos Prime,315.884191678553,329.51,1
Citroen Berlingo,315.72260467027746,492.52095890440046,1
Honda Civic,315.2838688054499,128176.96684931521,24
Vw Volkswagen Parati 1.0,311.9197363848365,3052.769315068871,6
Fiat Palio Acima De 1.0,309.60361015994755,76173.02972603036,23
Toyota Camry,305.436537733613,910.886438356135,2
Vw Volkswagen Saveiro,304.2469966973798,41489.25753425099,22
Kasinski Motos Ate 450cc,303.3558136678992,378.8191780817695,1
Vw Volkswagen Gol Acima De 1.0,298.37361573692544,101867.01972602906,23
Peugeot 307,295.6788037005971,33684.35232876954,18
Gm Chevrolet Captiva,292.8662553938687,8187.14671232894,11
Iveco Daily Furgao,289.141061452514,143.2,1
Fiat Siena Acima De 1.0,282.65688728436817,54125.781780821606,23
Ford Caminhoes - Outros,279.22176758413315,14589.088219178951,20
Audi A3,278.29475335368176,6298.408356166054,8
Fiat Punto,277.90697050735224,38947.957945206144,22
Vw Volkswagen New Beetle,276.1273929988413,3340.860136987101,7
Mitsubishi Pajero,272.9944422452307,36852.49383561676,23
Vw Volkswagen Bora,271.8899501003632,6074.803424658812,12
Hyundai Santa Fe,270.28224818947837,6584.71287671227,12
Harley-davidson Motos - Todas,269.1667214649984,5593.362328766845,7
Kia Motors Carens,268.68220338983053,472.0,2
