VehModel,Area,exposure,actual_rate,glmm_rate_mean,ci90_low,ci90_high,ci90_width
Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv,Met. de Sao Paulo,194.22,763.5464936669756,554.4657503321978,208.88643300568415,766.5006227901325,557.6141897844484
Honda - Accord Seda Ex 2.7/ 3.0 24v,Met. de Sao Paulo,259.94,675.7867200123105,674.7827243262323,661.0912260111112,680.1752651893579,19.084039178246712
Honda - Accord Seda Ex 3.5 V6 24v,Met. de Sao Paulo,149.66547945220023,1091.627812893083,756.5449478901917,247.77187516707298,1095.9328288060515,848.1609536389785
Honda - Accord Seda Exr,Met. de Sao Paulo,123.56,586.4923923599871,556.0631290258706,466.4060684573313,589.7943636654866,123.38829520815528
Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.,Met. de Sao Paulo,716.03,435.1088641537366,570.8854725280644,434.0030821608755,1301.5518944458913,867.5488122850159
Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.,Met. do Rio de Janeiro,170.37,228.15636555731643,361.52019263588704,226.56415214020862,1449.6382987593797,1223.0741466191712
Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.,Ribeirao Preto e Demais Mun. de Campinas,142.43,1306.2978305132344,1217.2221271821766,970.7007164014273,1310.35409968192,339.6533832804927
Honda - Biz 125 Es/ Es Fuel Injection,Alagoas,133.01,56.09352680249606,67.71593567451445,29.63531118264182,309.6619513730198,280.026640190378
Honda - Biz 125 Es/ Es Fuel Injection,Bahia,394.43,55.507948178384,74.31625593229796,47.87597173644818,195.7140583394713,147.83808660302313
Honda - Biz 125 Es/ Es Fuel Injection,Blumenau e demais regioes,175.37,46.952158293892914,74.44846423277576,30.88277995604831,366.32559374128397,335.44281378523567
Honda - Biz 125 Es/ Es Fuel Injection,Demais regioes,216.31,50.238084230964816,84.37900565361888,49.740474455405845,386.86236928297234,337.1218948275665
Honda - Biz 125 Es/ Es Fuel Injection,Goias,554.78,27.519016547099753,58.026813892443215,27.238782452193554,551.9460613228928,524.7072788706993
Honda - Biz 125 Es/ Es Fuel Injection,Litoral Norte e Baixada Santista,214.45000000000002,148.15108416880392,153.99958643491166,71.83610509529137,358.4805816036187,286.64447650832733
Honda - Biz 125 Es/ Es Fuel Injection,Mato Grosso,340.05,91.41008675194824,117.8502486840378,90.73798082840618,196.38006031352197,105.64207948511579
Honda - Biz 125 Es/ Es Fuel Injection,Mato Grosso do Sul,159.55,37.74365402695079,69.81244625337564,37.292221787642475,412.11710714467165,374.8248853570292
Honda - Biz 125 Es/ Es Fuel Injection,Met. Florianopolis e Sul,143.65,19.888618169161155,71.93021006316575,32.14127600548362,406.3049129158449,374.1636369103613
Honda - Biz 125 Es/ Es Fuel Injection,Met. Porto Alegre e Caxias do Sul,167.06,36.64551658086915,69.73318855380299,36.04046401770362,327.86781351309855,291.8273494953949
Honda - Biz 125 Es/ Es Fuel Injection,Met. de Sao Paulo,231.6027397261001,194.39320991299275,221.6783675735697,192.88902263612755,333.0563870861193,140.16736444999174
Honda - Biz 125 Es/ Es Fuel Injection,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,110.26,16.578995102485035,52.66985610821436,16.37546536079664,281.75782702767435,265.3823616668777
Honda - Biz 125 Es/ Es Fuel Injection,Para,557.27,202.00800330181062,174.51276845827013,110.80291185875586,202.81738905460483,92.01447719584897
Honda - Biz 125 Es/ Es Fuel Injection,Pernambuco,154.94,49.33522653930554,62.67911608564055,32.57250523814241,190.50734304891566,157.93483781077325
Honda - Biz 125 Es/ Es Fuel Injection,Ribeirao Preto e Demais Mun. de Campinas,383.26,11.999686896623702,35.33666149159908,9.667119289642432,254.47278321530683,244.8056639256644
Honda - Biz 125 Es/ Es Fuel Injection,Rio Grande do Norte,167.5,46.45970149253731,59.19196322807578,45.4954045869827,122.07093370043627,76.57552911345357
Honda - Biz 125 Es/ Es Fuel Injection,Triangulo mineiro,157.38,91.11704155547083,91.62502772128764,47.90258212849739,282.10061485173935,234.19803272324197
Honda - Biz 125+,Demais regioes,112.14,64.01819154628143,123.48400096727728,63.0437201676267,309.40127768145874,246.35755751383203
