VehModel,Area,exposure,actual_rate,glmm_rate_mean,ci90_low,ci90_high,ci90_width
Audi - A3 1.8 3p,Met. de Sao Paulo,197.51,0.02025213913219584,0.018103708423867163,0.007038303970962347,0.039148595450807996,0.03211029147984565
Audi - A3 1.8 5p Aut.,Met. de Sao Paulo,241.46547945220024,0.024848272364281127,0.023088671058106622,0.010805226914202784,0.0438782697042918,0.03307304279008902
Audi - A3 1.8 5p Mec.,Demais regioes,136.05273972610013,0.0808509995619719,0.07539143335534777,0.05330771582330659,0.10467883556080017,0.05137111973749358
Audi - A3 1.8 5p Mec.,Met. de Sao Paulo,251.12,0.067696718700223,0.05529521417278673,0.04017204991195115,0.0755241962103237,0.03535214629837256
Audi - A3 1.8 5p Mec.,Ribeirao Preto e Demais Mun. de Campinas,206.25,0.05818181818181818,0.0727815451646786,0.053125465451672814,0.09916140413917764,0.04603593868750482
Audi - A3 1.8 Turbo 180cv 5p Aut./ Tip.,Met. de Sao Paulo,157.3,0.06357279084551812,0.05983170432532968,0.033677407426541475,0.09873098348768608,0.0650535760611446
Audi - A3 1.8 Turbo 5p Aut.,Met. de Sao Paulo,258.99,0.03088922352214371,0.029159978773635416,0.01568235212878286,0.050417307792271215,0.03473495566348836
Audi - A3 1.8 Turbo 5p Mec.,Met. de Sao Paulo,152.37273972610012,0.03281426854296789,0.029773982333796682,0.013080392608245367,0.06000511466749397,0.0469247220592486
Audi - A3 Sportback 2.0 16v Turbo Fsi S-tronic,Met. de Sao Paulo,254.3,0.05505308690523004,0.05295628958841652,0.0331514697322165,0.0803250816998485,0.047173611967632006
Audi - A4 1.8 Tip./ Multitronic Turbo,Met. de Sao Paulo,142.47,0.028076086193584614,0.02457142122395284,0.009662334281412348,0.05398458897668136,0.044322254695269014
Bmw - 120ia 2.0 16v 150cv/ 156cv 5p,Met. de Sao Paulo,169.92,0.07062146892655367,0.0675628752790341,0.04034189263878587,0.10747331891084848,0.06713142627206262
Bmw - 320ia,Blumenau e demais regioes,112.08,0.11598857958601,0.09469283161328029,0.072079472321445,0.12336929079501638,0.05128981847357138
Bmw - 320ia,Met. Curitiba,153.04,0.09801359121798223,0.09020654152083246,0.0696378911612229,0.11613358871833739,0.04649569755711448
Bmw - 320ia,Met. de Sao Paulo,659.56,0.062162653890472444,0.06203216041556583,0.05068206547546862,0.0756501281016453,0.02496806262617668
Bmw - 320ia,Met. do Rio de Janeiro,149.3382191778347,0.0669620948679709,0.06462851953814079,0.048978658991460006,0.08486961443713535,0.035890955445675346
Bmw - 320ia,Met.BH-Centro Oeste-Zona Mata-C. Vertentes,133.45,0.09741476208317723,0.10193224283951367,0.07825197747387681,0.13150539084977778,0.05325341337590096
Bmw - 320ia,Ribeirao Preto e Demais Mun. de Campinas,160.5109589039348,0.08722145886860563,0.0901732549468123,0.06874968011354046,0.11721683363843553,0.04846715352489507
Bmw - 325ia,Met. de Sao Paulo,298.01,0.03355592094225026,0.03185167620396786,0.01790973315857322,0.052379837516956566,0.034470104358383345
Bmw - F 650 Gs,Met. de Sao Paulo,107.61547945220023,0.027877030472484358,0.023441882677042294,0.007829461679338767,0.05783853640396673,0.05000907472462796
Bmw - F 800 Gs 798cc,Met. de Sao Paulo,113.83,0.026355090925063693,0.022652686962454337,0.007590865561657887,0.05596249655732271,0.04837163099566482
Bmw - R 1200 Gs,Met. de Sao Paulo,343.00547945220023,0.04664648513940049,0.04518212283351065,0.029535309683207524,0.06774792107961326,0.038212611396405735
Bmw - R 1200 Gs Adventure,Met. de Sao Paulo,132.5,0.007547169811320755,0.004659688167904493,0.000492884945957205,0.023215102327457163,0.02272221738149996
