VehModel,Area,exposure,actual_rate,glmm_rate_mean,ci90_low,ci90_high,ci90_width
Agrale Caminhoes - Todos,Parana,316.52095890440046,0.0,138.3419377193486,58.37878698830745,204.37900074682446,146.00021375851702
Agrale Caminhoes - Todos,Rio Grande do Sul,254.82821917830034,748.4022005685314,253.50674552896385,167.36727069754735,749.6582694956967,582.2909987981493
Agrale Caminhoes - Todos,Santa Catarina,250.00273972610012,0.0,78.18502920919418,38.40817438742302,102.12596983214893,63.71779544472591
Agrale Caminhoes - Todos,Sao Paulo,156.68095890440046,287.3929309270735,235.87695468257124,114.77374072316162,308.35254633462847,193.57880561146686
Alfa Romeo 156,Sao Paulo,107.14,0.0,63.71683787889198,8.912387008573777,438.82672099633334,429.91433398775956
Audi A3,Bahia,109.37273972610012,0.0,267.8312096706688,247.68908122421888,316.3898913116114,68.70081008739251
Audi A3,Distrito Federal,200.87273972610012,0.0,91.48843838778131,67.87471590449006,105.44636910719922,37.57165320270916
Audi A3,Minas Gerais,474.0010958905704,349.91058340989696,162.83771297272585,122.23396982989769,350.2053060393559,227.9713362094582
Audi A3,Parana,655.9338356162049,169.58875112075685,195.0643727947036,152.3074447629127,218.70737849650413,66.39993373359144
Audi A3,Rio Grande do Sul,586.5310958905704,250.8596748422891,196.2491256126832,154.4062103141719,228.52180974685095,74.11559943267906
Audi A3,Rio de Janeiro,510.50821917830035,204.99180242081448,375.51316393030254,315.14893375618044,411.202621705251,96.05368794907054
Audi A3,Santa Catarina,558.7873972610012,243.00655430955436,130.2114891687107,112.02117914925503,179.15162656534446,67.13044741608942
Audi A3,Sao Paulo,3202.401232877206,339.78908977072706,346.1783465106148,339.4865297313454,352.2470069390436,12.760477207698216
Audi A4,Parana,107.46095890440047,13.9585577431375,309.09099287836875,278.12939305187723,356.51084470179995,78.38145164992272
Audi A4,Rio Grande do Sul,105.57547945220024,0.0,276.326857388963,245.34849619911702,295.745606955554,50.397110756437
Audi A4,Rio de Janeiro,135.1282191778347,550.8471913038405,499.15960121129774,388.6802313057612,558.1679176264307,169.48768632066952
Audi A4,Sao Paulo,641.5891780822352,563.2420438888414,477.59560372750894,470.05162362292043,485.6913832116398,15.639759588719357
Audi A6,Sao Paulo,167.41,411.03279373991995,293.78283623288513,203.93136229224743,416.3371558927693,212.4057936005219
Bmw - Todos,Distrito Federal,252.29,0.0,216.89413805433054,119.00690677306841,279.5043208101616,160.49741403709317
Bmw - Todos,Minas Gerais,544.7919178078696,74.8726232285724,262.28983858454086,127.60142547680752,351.87963242710987,224.27820695030235
Bmw - Todos,Parana,805.1720547954366,671.5794429022758,552.8306240304772,508.15688325533745,672.3250860180456,164.16820276270812
Bmw - Todos,Rio Grande do Sul,594.3128767127357,826.9364828814728,607.0836136598608,536.4868698949681,827.7853690371402,291.2984991421721
Bmw - Todos,Rio de Janeiro,585.0973972600699,408.6738398081033,729.4009700826158,310.6835700859513,991.156899092327,680.4733290063757
Bmw - Todos,Santa Catarina,621.8947945201397,688.1196044263423,365.50914688539746,286.9272897941722,689.1055040253482,402.17821423117596
Bmw - Todos,Sao Paulo,3568.6649315067752,237.34506216092817,237.35543993052835,237.0293596277912,237.80147657329516,0.7721169455039671
Bmw Motos Acima De 450cc,Parana,103.59369863003492,0.0,117.38868924907526,9.99213427849622,270.85389544612394,260.8617611676277
Bmw Motos Acima De 450cc,Rio de Janeiro,236.57,1713.8774992602612,669.0545265070613,463.94438212184326,1715.9225220180356,1251.9781398961923
Bmw Motos Acima De 450cc,Sao Paulo,1474.0147945201397,247.8272276221776,372.87695784556183,247.45046832479727,431.310510161085,183.86004183628773
Buell Motos - Todas,Sao Paulo,136.86547945220025,737.1252444648353,757.0064054771813,742.6993613835732,766.5560027060835,23.856641322510313
Chevrolet Caminhoes - Todos,Minas Gerais,112.02821917783469,0.0,5.683419251977554,1.4066873093188481,36.674959774418234,35.268272465099386
Chevrolet Caminhoes - Todos,Sao Paulo,210.77739726006985,0.0,15.006419958714588,3.6464310802260216,94.83330429948187,91.18687321925584
Chrysler - Todos,Distrito Federal,152.58,46.49364267925023,61.70085939278126,55.86111211430465,65.07377283664007,9.212660722335421
Chrysler - Todos,Minas Gerais,244.79,0.0,76.57634052457573,61.607269951153384,85.44688612848876,23.839616177335373
Chrysler - Todos,Parana,404.27,0.0,131.12867395047232,126.28279864286979,135.72580170863853,9.443003065768735
Chrysler - Todos,Rio Grande do Sul,352.1191780817695,0.0,124.54395959072642,98.33324474575252,141.43075568273923,43.09751093698671
Chrysler - Todos,Rio de Janeiro,425.61,251.94426822678037,241.33904594314652,208.3749532984433,256.4593823735183,48.08442907507498
Chrysler - Todos,Santa Catarina,264.96013698616997,0.0,78.82391653183231,73.07957931802653,90.65254847126826,17.57296915324173
Chrysler - Todos,Sao Paulo,2435.6936986305004,276.69817447856354,231.51949717953096,216.00680202221997,276.98323960849285,60.97643758627288
Citroen Berlingo,Sao Paulo,492.52095890440046,315.72260467027746,309.35377861219604,288.9681413674236,322.9453064744706,33.97716510704703
Citroen C3,Alagoas,642.6246575344354,47.03367610568285,109.64392609252576,98.0561133008173,129.0577574550124,31.00164415419509
Citroen C3,Amazonas,200.36,11.90856458374925,46.733218040758274,39.13247969687961,62.78168843868382,23.649208741804216
Citroen C3,Bahia,2038.9219178083354,114.4560750275564,121.81192976164817,115.03270178008749,131.16057245215077,16.12787067206328
Citroen C3,Ceara,763.6954794522002,67.79141869104178,55.750026468990896,47.897388725920386,61.43639534468678,13.539006618766393
Citroen C3,Distrito Federal,2479.9227397261,37.47899017622843,48.220701459403266,38.75053860108304,53.56388148579856,14.813342884715517
Citroen C3,Esperito Santo,929.2209589044005,50.29804757644136,70.38220578566234,62.43121601376527,75.0622918896885,12.631075875923223
Citroen C3,Goias,1645.386438356135,1.4653092694800443,26.770569119997404,1.4663984535002692,73.98032173654448,72.5139232830442
Citroen C3,Maranhao,311.4554794522002,0.0,35.6492712459191,24.127978673513155,42.28874718260099,18.160768509087838
Citroen C3,Mato Grosso,457.8436986300349,145.8576370054232,47.97072229993794,42.73799058666874,51.03062140779974,8.292630821131006
Citroen C3,Mato Grosso do Sul,719.54,5.832893237346083,23.744072293578665,19.230722903733955,32.9245096482028,13.693786744468845
Citroen C3,Minas Gerais,4353.369178082701,50.82913737572209,60.57636875727237,51.89108984960693,66.05083355744047,14.159743707833542
Citroen C3,Para,557.67,307.24980723366866,91.86916256064978,57.685557042050995,307.6342457359903,249.94868869393932
Citroen C3,Paraiba,412.3036986300349,0.0,42.30866856267587,35.56314539738918,57.01294166594043,21.449796268551253
Citroen C3,Parana,4630.802054795437,99.40826546954085,99.5118400551963,82.24992361519715,110.08127073453521,27.831347119338062
Citroen C3,Pernambuco,1038.0282191783003,119.49386125377985,97.5718837635062,89.83319655130511,106.8239310600741,16.990734508768995
Citroen C3,Piaui,136.24547945220024,0.0,13.476892170780772,12.495276841870878,15.073368540238915,2.5780916983680378
Citroen C3,Rio Grande do Norte,570.3582191783004,51.813051879176506,61.596562321831385,51.78379940939023,81.00947271770777,29.22567330831754
Citroen C3,Rio Grande do Sul,4171.723013699371,199.1764547337893,168.78614810394333,102.79423176907282,199.41310203787958,96.61887026880676
Citroen C3,Rio de Janeiro,6795.491095890105,219.56750129543977,200.956470214543,192.35604996130684,215.89607397962806,23.54002401832122
Citroen C3,Santa Catarina,5604.210136987102,65.32481670946355,59.021020020291864,51.45952704460481,69.80303865302467,18.34351160841986
Citroen C3,Sao Paulo,31740.280136985704,154.41155461917236,158.8254330946131,154.33199887780347,167.09623769516284,12.76423881735937
Citroen C3,Sergipe,236.91643835613505,2.4312369542469288,33.57123628636977,25.59931548452972,41.97100631889404,16.371690834364323
Citroen C4,Alagoas,191.4282191778347,313.40729312361884,180.7519100289897,147.40692903336625,226.13647341306316,78.7295443796969
Citroen C4,Amazonas,112.68095890393481,69.20423890471254,77.67412085196351,58.030383773792934,92.18932043467942,34.15893666088648
Citroen C4,Bahia,611.5846575339698,41.87645926774653,159.6497411676382,41.563851801928124,268.24462316819245,226.6807713662643
Citroen C4,Ceara,301.65821917783467,0.0,112.51202033577223,103.35035788366493,119.03910641578791,15.688748532122986
Citroen C4,Distrito Federal,1065.6654794522003,10.773549693944997,57.06685227146616,10.713239026958869,112.40996935115507,101.6967303241962
Citroen C4,Esperito Santo,400.46643835613503,177.29325905922647,146.48758712587394,134.52222124464762,156.3588917309929,21.83667048634527
Citroen C4,Goias,680.446438356135,0.0,21.362174820865935,0.07518598178915095,146.50623313417634,146.43104715238718
Citroen C4,Maranhao,120.41095890393481,0.0,65.82533510149992,36.611860690880704,87.86392448959268,51.25206379871197
Citroen C4,Mato Grosso,262.79273972610014,226.39894870006927,106.59203595144125,91.20607569486234,123.22004494837644,32.013969253514105
Citroen C4,Mato Grosso do Sul,327.2973972605355,26.575218968442368,44.16110496920023,38.719178539253676,47.65847256791032,8.939294028656647
Citroen C4,Minas Gerais,1719.9519178078697,194.09437935072054,138.02071951374327,108.23753724822936,190.63054107677013,82.39300382854077
Citroen C4,Para,216.1582191778347,0.0,101.00728599929496,69.78063166152937,125.70878788355157,55.928156222022196
Citroen C4,Paraiba,156.7891780817695,389.6697511108636,71.34808669015491,60.07208510242143,79.95487048752507,19.882785385103638
Citroen C4,Parana,2386.510273971874,244.89607540105143,212.12429617634297,181.79709538015612,245.18441238035535,63.38731700019923
Citroen C4,Pernambuco,359.4554794522002,0.0,190.4069649352835,173.72883266272396,215.12882717264083,41.399994509916866
Citroen C4,Rio Grande do Norte,124.05547945220023,21.216313955838885,113.26754266709219,99.61744654639371,124.40933920389732,24.79189265750361
Citroen C4,Rio Grande do Sul,1954.844794521071,347.61378596630857,237.02514996240785,180.85159298704775,347.95332756704363,167.10173457999588
Citroen C4,Rio de Janeiro,2569.27287671227,359.08097125929316,378.9659777308579,354.16818390430905,412.23914459521626,58.070960690907214
Citroen C4,Santa Catarina,1913.1147945206053,154.4930815686171,118.55450788401562,105.3264678898615,146.62551435391762,41.29904646405612
Citroen C4,Sao Paulo,9529.097534247172,243.7448028685224,254.23983784849935,243.51655597404482,288.79287770737545,45.27632173333063
Citroen C4,Sergipe,108.57821917783468,0.0,73.64433005302838,70.70465727637756,76.66790835244927,5.963251076071714
Citroen C5,Parana,115.34,0.0,170.28559183312697,156.66459653249373,209.6457709985115,52.98117446601776
Citroen C5,Rio Grande do Sul,147.19273972610011,569.3827029509326,157.2770183147036,136.32085854703305,173.87731627471186,37.556457727678804
Citroen C5,Rio de Janeiro,177.08547945220025,161.03522484291233,310.91825185219574,296.56270603413526,330.6460646879155,34.08335865378024
Citroen C5,Santa Catarina,105.69821917830035,0.0,87.75728297596686,81.32158079968882,95.64881843754674,14.32723763785792
Citroen C5,Sao Paulo,507.14643835613504,242.16279699820615,257.25522767851015,247.4802747094072,267.5295752536646,20.049300544257363
Citroen Jumper,Rio de Janeiro,190.39,2721.3929303009613,1557.53032605131,1279.27594245613,2727.1697733865376,1447.8938309304076
Citroen Jumper,Sao Paulo,232.81547945220024,0.0,245.30103323131377,2.1187640567419264,1191.6550101851249,1189.536246128383
Citroen Xsara,Alagoas,155.23191780833528,0.0,98.44716069701829,56.78647317404912,131.5455865962347,74.75911342218558
Citroen Xsara,Bahia,821.5228767122701,101.41409613986912,138.18231946573414,120.59320829941532,148.10400489553908,27.510796596123754
Citroen Xsara,Ceara,255.9046575344354,0.0,58.69196040135838,47.033820583540084,66.68215320461336,19.648332621073273
Citroen Xsara,Distrito Federal,1375.7846575339697,0.0,50.46806947374329,35.04612689427508,61.1401186987167,26.093991804441615
Citroen Xsara,Esperito Santo,397.666438356135,77.03189669872579,78.40346884639945,66.1489954165612,84.91670085238297,18.767705435821767
Citroen Xsara,Goias,615.4682191778347,0.0,71.71780423163156,55.697642808769324,83.96481667839159,28.267173869622262
Citroen Xsara,Mato Grosso,112.13,0.0,48.91242534566324,29.26270342466385,60.30783982336262,31.04513639869877
Citroen Xsara,Mato Grosso do Sul,232.6936986305006,96.47876213291381,23.015834207998655,19.40238628436473,25.30549676044533,5.903110476080599
Citroen Xsara,Minas Gerais,2041.8828767132013,60.54803701523234,67.45488610000946,54.716323811540974,75.0152990504341,20.29897523889312
Citroen Xsara,Para,179.12273972610012,0.0,56.74111138182163,35.014101794502686,68.56439546064757,33.55029366614489
Citroen Xsara,Paraiba,103.58273972610012,0.0,42.96579559234715,40.711784062479396,45.26202584512117,4.550241782641777
Citroen Xsara,Parana,2947.13027397234,147.83364137234236,123.08429666305705,107.53886074362822,147.97615999384064,40.43729925021242
Citroen Xsara,Pernambuco,450.86,199.75380384154727,101.74799445242316,79.0872981580556,120.45032556240899,41.36302740435339
Citroen Xsara,Rio Grande do Norte,125.47547945220023,0.0,56.049892803978416,38.853948267351136,67.65616041279132,28.802212145440187
Citroen Xsara,Rio Grande do Sul,2967.3246575344356,95.67237588214779,105.03880537343645,78.31721567423058,116.63849741700132,38.321281742770736
Citroen Xsara,Rio de Janeiro,5417.608356163539,224.4962943133954,223.28782629657383,218.0083635602022,229.37915284181864,11.370789281616425
Citroen Xsara,Santa Catarina,2987.2456164383702,117.92736360929491,77.44971412460723,65.82785658104929,118.0010068192152,52.17315023816592
Citroen Xsara,Sao Paulo,14942.10849315064,128.18077186884008,128.18130549284854,128.03094953171987,128.32680704122137,0.29585750950150214
Daewoo - Todos,Sao Paulo,123.45,0.0,29.954589155023097,7.91806178871445,131.6003198640222,123.68225807530774
Dafra,Sao Paulo,489.7127397261001,165.6011645630419,145.7211283490056,105.69679063071148,199.44890549857627,93.75211486786479
Dodge Dakota,Sao Paulo,297.65191780833527,204.60812229409575,219.89019623896377,154.6880847443178,299.55596716222993,144.86788241791214
Dodge Journey,Rio de Janeiro,191.9682191778347,160.41196887633356,151.2091951910401,120.41678931823785,180.9407391749846,60.52394985674675
