target,cell_exposure_min,n_obs,n_eval,stratum,model,RMSE,wRMSE,PoissonDev
pure_premium,50,13302,3200,all,MF (weighted),497.0139236864133,270.32802207649024,154019188.00598454
pure_premium,50,13302,3200,all,CMF (side info),546.8972130747802,325.3778060528095,222523344.27977976
pure_premium,50,13302,3200,all,GLM,476.81498834868376,251.2105104873521,112091949.77228817
pure_premium,50,13302,3200,all,GLMM,476.81498834868376,251.2105104873521,112091949.77228817
pure_premium,50,13302,3200,sparse (exposure < median),MF (weighted),,596.476531291653,67137325.9995481
pure_premium,50,13302,3200,sparse (exposure < median),CMF (side info),,656.9584030256614,80136926.33353496
pure_premium,50,13302,3200,sparse (exposure < median),GLM,,588.3440472999563,58272315.57965161
pure_premium,50,13302,3200,sparse (exposure < median),GLMM,,588.3440472999563,58272315.57965161
pure_premium,50,13302,3200,dense  (exposure >= median),MF (weighted),,194.9481061894501,86881862.00643644
pure_premium,50,13302,3200,dense  (exposure >= median),CMF (side info),,255.85469310299857,142386417.9462448
pure_premium,50,13302,3200,dense  (exposure >= median),GLM,,167.3101526160822,53819634.19263655
pure_premium,50,13302,3200,dense  (exposure >= median),GLMM,,167.3101526160822,53819634.19263655
pure_premium,100,8637,2068,all,MF (weighted),319.3186170926549,190.53601883048756,78634125.99679977
pure_premium,100,8637,2068,all,CMF (side info),350.8483951627664,224.5317228449222,109566609.73135221
pure_premium,100,8637,2068,all,GLM,285.51429975222544,172.5262717536002,63750260.323395215
pure_premium,100,8637,2068,all,GLMM,285.51429975222544,172.5262717536002,63750260.323395215
pure_premium,100,8637,2068,sparse (exposure < median),MF (weighted),,393.2703515378762,40577314.289638996
pure_premium,100,8637,2068,sparse (exposure < median),CMF (side info),,431.37203068456705,48329460.91464457
pure_premium,100,8637,2068,sparse (exposure < median),GLM,,343.8689350461607,34052110.485162936
pure_premium,100,8637,2068,sparse (exposure < median),GLMM,,343.8689350461607,34052110.485162936
pure_premium,100,8637,2068,dense  (exposure >= median),MF (weighted),,133.89916777076778,38056811.70716078
pure_premium,100,8637,2068,dense  (exposure >= median),CMF (side info),,171.32476314240594,61237148.81670763
pure_premium,100,8637,2068,dense  (exposure >= median),GLM,,126.60463671363202,29698149.838232283
pure_premium,100,8637,2068,dense  (exposure >= median),GLMM,,126.60463671363202,29698149.838232283
pure_premium,200,5107,1202,all,MF (weighted),287.0475606737187,339.2706749002349,89328290.38067113
pure_premium,200,5107,1202,all,CMF (side info),294.44792989465947,193.66956806278336,86487140.18679667
pure_premium,200,5107,1202,all,GLM,237.72914040453443,151.22339315475045,38925514.46973234
pure_premium,200,5107,1202,all,GLMM,237.72914040453443,151.22339315475045,38925514.46973234
pure_premium,200,5107,1202,sparse (exposure < median),MF (weighted),,293.6774681144022,19306352.642685637
pure_premium,200,5107,1202,sparse (exposure < median),CMF (side info),,347.82754234051055,42308469.86048638
pure_premium,200,5107,1202,sparse (exposure < median),GLM,,292.2834937453754,17946941.106590353
pure_premium,200,5107,1202,sparse (exposure < median),GLMM,,292.2834937453754,17946941.106590353
pure_premium,200,5107,1202,dense  (exposure >= median),MF (weighted),,346.59623127923595,70021937.73798549
pure_premium,200,5107,1202,dense  (exposure >= median),CMF (side info),,151.5726354238052,44178670.32631028
pure_premium,200,5107,1202,dense  (exposure >= median),GLM,,109.4362186037056,20978573.36314199
pure_premium,200,5107,1202,dense  (exposure >= median),GLMM,,109.4362186037056,20978573.36314199
