"","Acre","Alagoas","Amapa","Amazonas","Bahia","Blumenau e demais regioes","Brasilia","Ceara","Demais regioes","Espirito Santo","F.Iguatu-Medianeira-Cascavel-Toledo","Goias","Grande Campinas","Interior","Litoral Norte e Baixada Santista","Maranhao","Mato Grosso","Mato Grosso do Sul","Met. Curitiba","Met. de Sao Paulo","Met. do Rio de Janeiro","Met. Florianopolis e Sul","Met. Porto Alegre e Caxias do Sul","Met.BH-Centro Oeste-Zona Mata-C. Vertentes","Oeste","Para","Paraiba","Pernambuco","Piaui","Ribeirao Preto e Demais Mun. de Campinas","Rio Grande do Norte","Rondonia","Roraima","Sergipe","Sudeste de Goias","Sul","Tocantins","Triangulo mineiro","Vale do Aco-Norte-Vale Jequitinhonha","Vale do Paraiba e Ribeira"
"Honda - Accord Coupe Ex",NA,NA,NA,NA,1762.71428571429,NA,1600.85542168675,NA,644.6,NA,NA,1105.3,1757.58928571429,NA,NA,NA,NA,NA,NA,836.725879170424,1270.37962962963,130.421052631579,NA,300.370967741935,NA,NA,NA,NA,NA,477.878504672897,NA,NA,NA,NA,NA,NA,NA,NA,NA,1093.22
"Honda - Accord Seda Ex 2.4/ 2.3/ 2.2 16v 158cv",NA,NA,NA,241.344827586207,1214.86363636364,644.121951219512,1120.64473684211,849.217647058824,1398.90384615385,1172.72180451128,1564.16,1751.22632794457,1409.80626959248,2021.04844290658,1631.28813559322,NA,NA,1591.41071428571,911.182748538012,1093.93249922768,1161.67259672208,1067.24817518248,1671.25899280576,923.11,NA,1632.42062817971,NA,938.643923240938,924.179245283019,1278.87057877814,161.86,NA,NA,1335.09090909091,NA,665.488505747126,1969.37837837838,943.260869565217,2990.36,967.783783783784
"Honda - Accord Seda Ex 2.7/ 3.0 24v",NA,1936.50289017341,NA,1774.32608695652,2221.64115646259,1963.47347121867,1834.78273809524,1358.91237113402,1286.16051779935,2207.57400722022,3011.36,1657.02919708029,1638.72375215146,2154.02555910543,2325.43103448276,1331.66666666667,1484.69473684211,1824.77108433735,1508.93550531915,1643.05632068939,2232.31191588785,1445.83480453972,1694.10687830688,1737.96590909091,2632.88333333333,2217.32704402516,1050.86046511628,1652.18522167488,NA,1667.36517412935,NA,NA,NA,NA,NA,1712.94444444444,NA,2012.14960629921,2601.70491803279,1624.6171875
"Honda - Accord Seda Ex 3.5 V6 24v",NA,3645.73630136986,NA,3895.73039215686,3271.01089918256,2736.04409857328,2648.05147058824,2822.54938271605,2162.25283347864,2928.04,2782.8864142539,3446.09479553903,2409.17160446325,2726.92768959436,2606.87547169811,3043.1221719457,2670.79603399433,3376.14731369151,2838.0658938377,2507.67044861448,3303.06547821874,2431.16666666667,3003.30643044619,2746.97604485219,2913.13580246914,4343.99671052632,4094.515625,2389.05092592593,3210.14155251142,2517.34126983642,2199.17333333333,NA,NA,3101.61940298507,3496,3218.61879895561,NA,2249.15,2705.97852760736,2859.85450597177
"Honda - Accord Seda Exr",NA,1537.34,NA,1899.51785714286,841.116071428571,1181.92857142857,1283.85834609495,1583.6,1050.28571428571,1016.78787878788,1364.50666666667,1379.27125506073,1326.2729528536,1464.26031746032,1447.1862745098,NA,NA,1595.13888888889,1034.96966161027,1123.98777921658,1475.98568507157,753.75,1225.94364351245,929.73182552504,NA,1641.49425287356,NA,1357.26569037657,NA,1251.16658124039,NA,NA,NA,NA,NA,1348.3,2392.92857142857,1333.97272727273,280.8,1384.6106557377
"Honda - Accord Seda Lx  2.2/ 2.4 16v 158cv",NA,NA,NA,1254.34,1674.52734375,1011.07711442786,1238.7191011236,NA,924.268796992481,1099.32786885246,1082.15,1103.73650793651,1435.88537549407,1066.36666666667,933.36231884058,2194.04761904762,1340.48,1110,1058.15581854043,1201.85474214893,1520.5481444333,1305.19241192412,1342.79316239316,724.339805825243,1373.06293706294,2036.78321678322,NA,278.989528795812,NA,1018.11578006258,NA,NA,NA,1820.81,NA,1233.272,815.42,1079.8,NA,1679.0796460177
"Honda - Accord Seda Lx 2.0 16v 150cv/ 156cv Aut.",1408.63636363636,2013.42751842752,3297.18947368421,1957.87756849315,1954.25225841132,1762.11887779363,1692.43552500713,1781.42841993637,1457.94218415418,1886.74797558785,1599.62695920482,1814.40191605839,1626.11456509049,1885.33584730036,1446.16077953715,1962.64721141375,2004.99899598394,2073.84808013356,1486.95949800342,1517.31146739662,1891.79157128602,1399.513896172,1570.12681992337,1823.41618981158,1512.19295302013,2205.28563474388,1525.1135371179,1654.37779252378,2482.69230769231,1588.75833742891,1720.92833333333,1435.82608695652,NA,2336.79907834101,2075.31724137931,1884.56921675774,2086.02040816327,1670.61342592593,1896.83090024331,1630.95030560723
"Honda - Accord Sw Ex",NA,NA,NA,NA,NA,1213.16216216216,1173.48,NA,110.65,NA,1732.15384615385,NA,NA,NA,NA,NA,NA,NA,NA,932.476070528967,1097.74149659864,NA,673.543859649123,309.307692307692,NA,NA,NA,NA,NA,959.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Accord Sw Lx",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,846.6,134,837.564,613.72,NA,NA,1190.46,NA,NA,NA,NA,NA,703.31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Honda - Biz 125 Es/ Es Fuel Injection",239.175226586103,330.902638899331,400.733512786003,108.565831339167,367.682706690667,287.320579346525,407.716141001855,333.388732099927,298.415329850677,350.563893911995,287.976165803109,309.479289087566,395.32555089192,244.532622879513,422.525343903008,314.911040098959,322.20708719306,287.024506424318,262.831454643049,455.279501981285,396.304680330376,206.564218586843,317.062013647791,317.270451659713,209.546080964686,370.588188849211,298.110306465155,338.489996127533,288.526785714286,311.617909513124,330.795462686567,442.5,433.848828696925,325.185387573366,289.79880952381,250.725813265737,324.284857861149,325.295590291015,304.556571428571,375.782011948975
